Freq.	V(out)/V(n002)
1.44211535152486e+000	(1.07172851788792e+002dB,-5.48339600787614e+000°)
1.44543977074592e+000	(1.07172668748443e+002dB,-5.49595923416025e+000°)
1.44877185354475e+000	(1.07172484870987e+002dB,-5.50855088975348e+000°)
1.45211161758773e+000	(1.07172300152630e+002dB,-5.52117103655042e+000°)
1.45545908058195e+000	(1.07172114589562e+002dB,-5.53381973656363e+000°)
1.45881426027534e+000	(1.07171928177957e+002dB,-5.54649705192371e+000°)
1.46217717445671e+000	(1.07171740913972e+002dB,-5.55920304487947e+000°)
1.46554784095590e+000	(1.07171552793746e+002dB,-5.57193777779796e+000°)
1.46892627764385e+000	(1.07171363813402e+002dB,-5.58470131316463e+000°)
1.47231250243271e+000	(1.07171173969043e+002dB,-5.59749371358339e+000°)
1.47570653327588e+000	(1.07170983256759e+002dB,-5.61031504177676e+000°)
1.47910838816819e+000	(1.07170791672620e+002dB,-5.62316536058592e+000°)
1.48251808514594e+000	(1.07170599212678e+002dB,-5.63604473297085e+000°)
1.48593564228699e+000	(1.07170405872969e+002dB,-5.64895322201042e+000°)
1.48936107771090e+000	(1.07170211649510e+002dB,-5.66189089090249e+000°)
1.49279440957898e+000	(1.07170016538303e+002dB,-5.67485780296395e+000°)
1.49623565609442e+000	(1.07169820535330e+002dB,-5.68785402163094e+000°)
1.49968483550236e+000	(1.07169623636554e+002dB,-5.70087961045883e+000°)
1.50314196609001e+000	(1.07169425837924e+002dB,-5.71393463312236e+000°)
1.50660706618673e+000	(1.07169227135367e+002dB,-5.72701915341576e+000°)
1.51008015416413e+000	(1.07169027524795e+002dB,-5.74013323525279e+000°)
1.51356124843619e+000	(1.07168827002100e+002dB,-5.75327694266687e+000°)
1.51705036745932e+000	(1.07168625563157e+002dB,-5.76645033981115e+000°)
1.52054752973248e+000	(1.07168423203821e+002dB,-5.77965349095863e+000°)
1.52405275379728e+000	(1.07168219919931e+002dB,-5.79288646050221e+000°)
1.52756605823806e+000	(1.07168015707306e+002dB,-5.80614931295479e+000°)
1.53108746168202e+000	(1.07167810561747e+002dB,-5.81944211294939e+000°)
1.53461698279928e+000	(1.07167604479036e+002dB,-5.83276492523917e+000°)
1.53815464030302e+000	(1.07167397454937e+002dB,-5.84611781469761e+000°)
1.54170045294954e+000	(1.07167189485195e+002dB,-5.85950084631849e+000°)
1.54525443953840e+000	(1.07166980565536e+002dB,-5.87291408521604e+000°)
1.54881661891247e+000	(1.07166770691667e+002dB,-5.88635759662499e+000°)
1.55238700995807e+000	(1.07166559859276e+002dB,-5.89983144590069e+000°)
1.55596563160506e+000	(1.07166348064032e+002dB,-5.91333569851915e+000°)
1.55955250282694e+000	(1.07166135301586e+002dB,-5.92687042007712e+000°)
1.56314764264094e+000	(1.07165921567568e+002dB,-5.94043567629219e+000°)
1.56675107010813e+000	(1.07165706857590e+002dB,-5.95403153300286e+000°)
1.57036280433354e+000	(1.07165491167244e+002dB,-5.96765805616861e+000°)
1.57398286446620e+000	(1.07165274492102e+002dB,-5.98131531186995e+000°)
1.57761126969933e+000	(1.07165056827718e+002dB,-5.99500336630856e+000°)
1.58124803927037e+000	(1.07164838169625e+002dB,-6.00872228580729e+000°)
1.58489319246110e+000	(1.07164618513337e+002dB,-6.02247213681027e+000°)
1.58854674859776e+000	(1.07164397854347e+002dB,-6.03625298588296e+000°)
1.59220872705115e+000	(1.07164176188131e+002dB,-6.05006489971225e+000°)
1.59587914723672e+000	(1.07163953510141e+002dB,-6.06390794510648e+000°)
1.59955802861465e+000	(1.07163729815813e+002dB,-6.07778218899554e+000°)
1.60324539069002e+000	(1.07163505100560e+002dB,-6.09168769843091e+000°)
1.60694125301286e+000	(1.07163279359776e+002dB,-6.10562454058577e+000°)
1.61064563517825e+000	(1.07163052588834e+002dB,-6.11959278275500e+000°)
1.61435855682647e+000	(1.07162824783087e+002dB,-6.13359249235530e+000°)
1.61808003764305e+000	(1.07162595937869e+002dB,-6.14762373692517e+000°)
1.62181009735891e+000	(1.07162366048491e+002dB,-6.16168658412509e+000°)
1.62554875575047e+000	(1.07162135110244e+002dB,-6.17578110173744e+000°)
1.62929603263970e+000	(1.07161903118400e+002dB,-6.18990735766664e+000°)
1.63305194789432e+000	(1.07161670068207e+002dB,-6.20406541993922e+000°)
1.63681652142779e+000	(1.07161435954896e+002dB,-6.21825535670378e+000°)
1.64058977319952e+000	(1.07161200773674e+002dB,-6.23247723623114e+000°)
1.64437172321491e+000	(1.07160964519728e+002dB,-6.24673112691435e+000°)
1.64816239152549e+000	(1.07160727188224e+002dB,-6.26101709726870e+000°)
1.65196179822900e+000	(1.07160488774306e+002dB,-6.27533521593186e+000°)
1.65576996346951e+000	(1.07160249273097e+002dB,-6.28968555166384e+000°)
1.65958690743754e+000	(1.07160008679700e+002dB,-6.30406817334705e+000°)
1.66341265037015e+000	(1.07159766989195e+002dB,-6.31848314998641e+000°)
1.66724721255104e+000	(1.07159524196640e+002dB,-6.33293055070929e+000°)
1.67109061431069e+000	(1.07159280297072e+002dB,-6.34741044476565e+000°)
1.67494287602642e+000	(1.07159035285506e+002dB,-6.36192290152799e+000°)
1.67880401812254e+000	(1.07158789156936e+002dB,-6.37646799049145e+000°)
1.68267406107045e+000	(1.07158541906333e+002dB,-6.39104578127381e+000°)
1.68655302538872e+000	(1.07158293528646e+002dB,-6.40565634361557e+000°)
1.69044093164324e+000	(1.07158044018803e+002dB,-6.42029974737992e+000°)
1.69433780044731e+000	(1.07157793371707e+002dB,-6.43497606255281e+000°)
1.69824365246172e+000	(1.07157541582243e+002dB,-6.44968535924298e+000°)
1.70215850839493e+000	(1.07157288645269e+002dB,-6.46442770768199e+000°)
1.70608238900310e+000	(1.07157034555624e+002dB,-6.47920317822421e+000°)
1.71001531509027e+000	(1.07156779308123e+002dB,-6.49401184134690e+000°)
1.71395730750840e+000	(1.07156522897557e+002dB,-6.50885376765021e+000°)
1.71790838715757e+000	(1.07156265318697e+002dB,-6.52372902785719e+000°)
1.72186857498599e+000	(1.07156006566289e+002dB,-6.53863769281380e+000°)
1.72583789199018e+000	(1.07155746635056e+002dB,-6.55357983348898e+000°)
1.72981635921508e+000	(1.07155485519699e+002dB,-6.56855552097462e+000°)
1.73380399775412e+000	(1.07155223214896e+002dB,-6.58356482648560e+000°)
1.73780082874935e+000	(1.07154959715301e+002dB,-6.59860782135979e+000°)
1.74180687339159e+000	(1.07154695015544e+002dB,-6.61368457705808e+000°)
1.74582215292048e+000	(1.07154429110232e+002dB,-6.62879516516433e+000°)
1.74984668862464e+000	(1.07154161993950e+002dB,-6.64393965738550e+000°)
1.75388050184174e+000	(1.07153893661257e+002dB,-6.65911812555154e+000°)
1.75792361395867e+000	(1.07153624106689e+002dB,-6.67433064161543e+000°)
1.76197604641161e+000	(1.07153353324760e+002dB,-6.68957727765322e+000°)
1.76603782068614e+000	(1.07153081309958e+002dB,-6.70485810586400e+000°)
1.77010895831740e+000	(1.07152808056746e+002dB,-6.72017319856989e+000°)
1.77418948089014e+000	(1.07152533559566e+002dB,-6.73552262821607e+000°)
1.77827941003890e+000	(1.07152257812834e+002dB,-6.75090646737073e+000°)
1.78237876744807e+000	(1.07151980810940e+002dB,-6.76632478872514e+000°)
1.78648757485203e+000	(1.07151702548254e+002dB,-6.78177766509355e+000°)
1.79060585403527e+000	(1.07151423019116e+002dB,-6.79726516941325e+000°)
1.79473362683250e+000	(1.07151142217845e+002dB,-6.81278737474455e+000°)
1.79887091512876e+000	(1.07150860138736e+002dB,-6.82834435427072e+000°)
1.80301774085955e+000	(1.07150576776055e+002dB,-6.84393618129804e+000°)
1.80717412601090e+000	(1.07150292124048e+002dB,-6.85956292925573e+000°)
1.81134009261958e+000	(1.07150006176931e+002dB,-6.87522467169597e+000°)
1.81551566277311e+000	(1.07149718928899e+002dB,-6.89092148229385e+000°)
1.81970085860996e+000	(1.07149430374120e+002dB,-6.90665343484736e+000°)
1.82389570231961e+000	(1.07149140506737e+002dB,-6.92242060327738e+000°)
1.82810021614272e+000	(1.07148849320866e+002dB,-6.93822306162762e+000°)
1.83231442237119e+000	(1.07148556810600e+002dB,-6.95406088406464e+000°)
1.83653834334832e+000	(1.07148262970004e+002dB,-6.96993414487774e+000°)
1.84077200146893e+000	(1.07147967793120e+002dB,-6.98584291847905e+000°)
1.84501541917945e+000	(1.07147671273961e+002dB,-7.00178727940335e+000°)
1.84926861897805e+000	(1.07147373406516e+002dB,-7.01776730230815e+000°)
1.85353162341479e+000	(1.07147074184747e+002dB,-7.03378306197360e+000°)
1.85780445509167e+000	(1.07146773602590e+002dB,-7.04983463330245e+000°)
1.86208713666284e+000	(1.07146471653956e+002dB,-7.06592209132002e+000°)
1.86637969083464e+000	(1.07146168332728e+002dB,-7.08204551117414e+000°)
1.87068214036577e+000	(1.07145863632763e+002dB,-7.09820496813512e+000°)
1.87499450806739e+000	(1.07145557547891e+002dB,-7.11440053759568e+000°)
1.87931681680324e+000	(1.07145250071916e+002dB,-7.13063229507093e+000°)
1.88364908948977e+000	(1.07144941198615e+002dB,-7.14690031619827e+000°)
1.88799134909627e+000	(1.07144630921737e+002dB,-7.16320467673738e+000°)
1.89234361864495e+000	(1.07144319235006e+002dB,-7.17954545257015e+000°)
1.89670592121112e+000	(1.07144006132117e+002dB,-7.19592271970056e+000°)
1.90107827992327e+000	(1.07143691606739e+002dB,-7.21233655425475e+000°)
1.90546071796322e+000	(1.07143375652512e+002dB,-7.22878703248079e+000°)
1.90985325856621e+000	(1.07143058263051e+002dB,-7.24527423074875e+000°)
1.91425592502106e+000	(1.07142739431941e+002dB,-7.26179822555055e+000°)
1.91866874067026e+000	(1.07142419152741e+002dB,-7.27835909349994e+000°)
1.92309172891013e+000	(1.07142097418980e+002dB,-7.29495691133235e+000°)
